"inst"	"score"	"nss.teach"	"nss.all"	"spend"	"ssr"	"career"	"value"	"tariff"	"nss.feedback"	"rank"	"year"	"group"	"former_poly"
"Cambridge"	100	91.5285032932092	90.515275877793	9.74017415675696	11.5868511188856	81.437125748503	6.45047056186476	610.468213925326	74.7952684258417	1	2014	"Russell"	"No"
"Oxford"	96.2	92.83927975992	91.042291042291	9.66953862670651	11.0511628578256	75.9336099585062	7.30963573634727	583.166836215679	70.8352776481568	2	2014	"Russell"	"No"
"London School of Economics"	90.7	84.4864135671613	86.5280985373364	8.22286575751283	11.0872645732033	82.0773930753564	6.20273669151072	541.878597122299	71.683594952293	3	2014	"Russell"	"No"
"St Andrews"	88.3	91.0871302957634	87.7844311377245	7.85523685733081	12.5909131340585	73.828125	8.01368418433054	524.216776625824	66.6080562659846	4	2014	"None"	"No"
"UCL"	85.5	85.8809951269556	83.949666153056	9.02812540716612	9.95645882603571	81.5035799522673	7.12179584120983	510.880877742948	61.9013434519536	5	2014	"Russell"	"No"
"Durham"	82.3	89.5601256783776	89.6689497716895	6.38111630730703	15.0803276587178	77.8862478777589	6.17383014447111	511.54019789735	73.4015199131478	6	2014	"Russell"	"No"
"Bath"	82	91.5516442797592	91.7037037037037	6.69561307368948	16.8228792405823	79.4432548179872	6.45069086536506	480.80314232902	69.4193452821804	7	2014	"None"	"No"
"Surrey"	81.1	89.8583333333333	90.8697100966345	7.80424525314087	16.5774923770743	69.3590869183494	6.71550861384918	417.740632318501	73.3706517393043	8	2014	"None"	"No"
"Imperial College"	80.6	85.8439201451906	87.102633969119	8.28490082566195	11.7213533590714	84.3119266055046	6.67938696029811	566.60523715415	64.2506811989101	9	2014	"Russell"	"No"
"Warwick"	80.2	87.1369028534787	85.3408508457201	8.5620100677976	14.3097706361079	74.4422890397672	5.77197321087568	505.897495056033	62.7561475409836	10	2014	"Russell"	"No"
"Lancaster"	80	88.9745786918024	88.5054192812322	6.70308042661772	15.4186796207644	74.2749054224464	4.70933556339858	439.065298507465	72.5809213906491	11	2014	"1994"	"No"
"Exeter"	78.1	92.9513888888889	91.0882842865075	6.02528287362062	18.6617503568895	72.4412937527692	6.65765929832709	470.089151759955	74.0057764941124	12	2014	"Russell"	"No"
"Leicester"	77.5	89.9370561652679	90.2965828497743	7.87890047183706	12.928329680301	68.6908077994429	5.34594684841131	413.333911535127	75.6983420424489	13	2014	"1994"	"No"
"Loughborough"	76.3	88.6545668307738	89.2941176470588	6.74040989399293	16.8564505322731	71.4018691588785	5.6831022808268	410.980334316618	73.645508559327	14	2014	"1994"	"No"
"Birmingham"	75.4	89.2853836897158	87.4259259259259	8.36426858774612	14.834683370414	77.0330652368186	5.75336135003862	443.679860048108	68.4541885786238	15	2014	"Russell"	"No"
"York"	75.3	90.726701183432	89.1070766950722	7.20575974542562	15.473566816613	68.2584269662921	5.4131708958093	457.611796982168	71.9715492331629	16	2014	"Russell"	"No"
"UEA"	74.7	90.8249055684172	89.544235924933	6.94080409154594	13.5183481561332	67.4368619022031	5.97977948946381	418.098273572378	67.4823300024372	17	2014	"None"	"No"
"Heriot-Watt"	74.5	88.6493804019577	89.8333333333333	6.97362314963027	18.311269279351	73.2644017725259	5.50399310065724	390.796278158667	75.4396199683307	18	2014	"None"	"No"
"Edinburgh"	74.2	86.5875247318546	83.4860474802166	9.07236418983641	13.8924021920801	73.8830219333875	6.39916011135068	488.995945102935	53.6044670389199	19	2014	"Russell"	"No"
"Kent"	73.9	89.0738369611609	90.5540639492312	6.39109556574034	14.5523154579207	67.7377333912288	6.61593968227799	379.923700026131	69.7508896797153	20	2014	"None"	"No"
"Glasgow"	71.3	91.6611640411282	90.5390124387486	6.04924549830199	16.4454293276897	79.0887290167866	4.75938232574145	476.912109375002	69.0224769950219	21	2014	"Russell"	"No"
